Player,AIName,AvgScore,AvgPt,WinRate,DealIn,AvgTurn,AvgRank,First,Second,Third,Fourth,Tobi,Mode
0,highscore,0,5979.67,21.84,14.88,51.2711,0,0,0,0,0,0,round
1,shanten,0,4749.89,18.52,15.64,51.108,0,0,0,0,0,0,round
2,shanten,0,4811.56,18,15.04,48.5,0,0,0,0,0,0,round
3,shanten,0,4924.61,17.88,15.4,50.2931,0,0,0,0,0,0,round
