Player,AIName,AvgScore,AvgPt,WinRate,DealIn,AvgTurn,AvgRank,First,Second,Third,Fourth,Tobi,Mode
0,highscore,0,5942.91,22.28,14.28,52.2226,0,0,0,0,0,0,round
1,shanten,0,5021.67,19.2,14.8,49.5896,0,0,0,0,0,0,round
2,shanten,0,4972.3,17.04,15.76,50.5798,0,0,0,0,0,0,round
3,shanten,0,4846.15,17.16,14.04,50.3776,0,0,0,0,0,0,round
