Player,AIName,AvgScore,AvgPt,WinRate,DealIn,AvgTurn,AvgRank,First,Second,Third,Fourth,Tobi,Mode
0,defense,0,5460.71,29.12,7.28,47.9945,0,0,0,0,0,0,round
1,shanten,0,4729.05,15.56,18.6,49.5373,0,0,0,0,0,0,round
2,shanten,0,4686.87,17.36,16.52,50.1659,0,0,0,0,0,0,round
3,shanten,0,4851.98,16.16,17.12,49.3441,0,0,0,0,0,0,round
