Player,AIName,AvgScore,AvgPt,WinRate,DealIn,AvgTurn,AvgRank,First,Second,Third,Fourth,Tobi,Mode
0,speed,0,3971.46,40.08,11.16,47.009,0,0,0,0,0,0,round
1,shanten,0,4724.02,16.32,19.44,48.1618,0,0,0,0,0,0,round
2,shanten,0,4837.11,15.52,18.84,48.8995,0,0,0,0,0,0,round
3,shanten,0,4697.58,13.2,18.64,48.3273,0,0,0,0,0,0,round
