Player,AIName,AvgScore,AvgPt,WinRate,DealIn,AvgTurn,AvgRank,First,Second,Third,Fourth,Tobi,Mode
0,defense,0,5876.61,29.24,7.48,48.2777,0,0,0,0,0,0,round
1,shanten,0,4880.54,16.24,16.2,49.5788,0,0,0,0,0,0,round
2,shanten,0,4710.05,17.52,17.8,50.1712,0,0,0,0,0,0,round
3,shanten,0,4903.76,15.96,16.88,49.1955,0,0,0,0,0,0,round
