Player,AIName,AvgScore,AvgPt,WinRate,DealIn,AvgTurn,AvgRank,First,Second,Third,Fourth,Tobi,Mode
0,speed,0,4007.04,40.36,10.08,46.9187,0,0,0,0,0,0,round
1,shanten,0,4891.85,14.24,21.32,47.5927,0,0,0,0,0,0,round
2,shanten,0,4767.77,15.64,17.72,49.4859,0,0,0,0,0,0,round
3,shanten,0,4900,14.12,16.36,47.4646,0,0,0,0,0,0,round
