Player,AIName,AvgScore,AvgPt,WinRate,DealIn,AvgTurn,AvgRank,First,Second,Third,Fourth,Tobi,Mode
0,defense,0,5528.49,28.08,6.8,48.859,0,0,0,0,0,0,round
1,shanten,0,5092.2,16.92,17.76,50.0662,0,0,0,0,0,0,round
2,shanten,0,5218.03,17.08,17.48,49.1288,0,0,0,0,0,0,round
3,shanten,0,5039.34,16.88,17.12,49.6564,0,0,0,0,0,0,round
