Player,AIName,AvgScore,AvgPt,WinRate,DealIn,AvgTurn,AvgRank,First,Second,Third,Fourth,Tobi,Mode
0,highscore,0,6267.3,23.12,13.96,53.2785,0,0,0,0,0,0,round
1,shanten,0,4894.98,19.12,15.72,49.3536,0,0,0,0,0,0,round
2,shanten,0,4451.47,17.72,15.2,49.7269,0,0,0,0,0,0,round
3,shanten,0,4987.29,16.68,14.52,51.7362,0,0,0,0,0,0,round
